district,total_reported_cases,total_severity_weighted_cases,recency_weighted_cases,recency_severity_weighted_cases,average_severity,crime_record_count,population,area_sq_km,population_density,cases_per_100k,severity_weighted_cases_per_100k,recent_cases_per_100k,recent_severity_per_100k,crime_trend_slope,normalized_case_burden,normalized_severity_burden,normalized_recent_burden,normalized_trend,historical_baseline
New Delhi,951,709.7778,1187.9,886.0556,7.0,504,142004,35.0,4057,669.6994,499.8294,836.5257,623.9652,-0.4857,1.0,1.0,1.0,1.0,100.0
Central,2052,1508.2222,2561.4,1883.1111,7.0,504,582320,25.0,23293,352.3836,259.0023,439.8612,323.3808,-2.0571,0.3144,0.3099,0.3098,0.7764,35.8356
North,2583,1887.5556,3226.6,2357.7778,7.0,504,887978,60.0,14799,290.8856,212.5678,363.3649,265.5221,-1.2286,0.1816,0.1769,0.177,0.8943,25.0511
North West,9742,7094.6667,12172.6,8861.0778,7.0,504,3656539,440.0,8310,266.4268,194.0268,332.8995,242.3351,-2.8,0.1287,0.1237,0.1238,0.6707,18.0429
South East,5845,4268.4444,7301.7,5331.1444,7.0,504,2283000,102.0,22382,256.0228,186.9665,319.8292,233.5149,-2.6,0.1062,0.1035,0.1035,0.6992,16.4164
East,4769,3481.7778,5948.5,4342.9333,7.0,504,1709346,64.0,26708,278.9956,203.6906,347.9986,254.0699,-7.2857,0.1559,0.1514,0.1507,0.0325,14.1166
Shahdara,3681,2691.1111,4596.8,3359.3556,7.0,504,1545000,59.7,25879,238.2524,174.1819,297.5275,217.434,-2.5429,0.0678,0.0669,0.0666,0.7073,13.1245
South,7007,5105.6667,8747.3,6372.3222,7.0,504,2731929,250.0,10928,256.4854,186.8887,320.1877,233.2536,-6.5429,0.1072,0.1033,0.1029,0.1382,10.8279
South West,4743,3458.8889,5926.6,4320.7333,7.0,504,2292958,420.0,5459,206.8507,150.8483,258.4696,188.4349,-1.2286,0.0,0.0,0.0,0.8943,8.9431
West,6443,4696.5556,8040.6,5859.8444,7.0,504,2543243,129.0,19715,253.338,184.668,316.1554,230.4084,-7.5143,0.1004,0.0969,0.0964,0.0,8.8522
North East,5312,3869.1111,6629.9,4827.8111,7.0,504,2241624,62.0,36155,236.9711,172.603,295.7633,215.3711,-5.7714,0.0651,0.0623,0.0618,0.248,8.1898
