segment_id,segment_name,district,midpoint_latitude,midpoint_longitude,time_period,representative_hour,is_weekend,distance_m,estimated_travel_time_s,model_risk_score,model_risk_band,confidence_score,confidence_level,data_quality_score,confidence_adjusted_risk,base_travel_time_s,risk_penalty_s,routing_cost,route_priority,lighting_score,cctv_coverage_score,contextual_footfall_proxy,distance_to_police_m,distance_to_hospital_m,nearest_hotspot_distance_m,nearest_hotspot_intensity
1001,Connaught Place to Janpath,New Delhi,28.629,77.21695,Morning,8,0,950,76,43.84,High,0.0,Unknown,0.0,32.88,76,49.97,125.97,Use with caution,74,78,3108.3,480.83976280942414,1511.943998920021,1601.6145189263182,88.0
1001,Connaught Place to Janpath,New Delhi,28.629,77.21695,Morning,8,1,950,76,43.87,High,0.0,Unknown,0.0,32.9,76,50.01,126.01,Use with caution,74,78,3108.3,480.83976280942414,1511.943998920021,1601.6145189263182,88.0
1001,Connaught Place to Janpath,New Delhi,28.629,77.21695,Day,13,0,950,76,44.61,High,0.0,Unknown,0.0,33.46,76,50.86,126.86,Use with caution,74,78,2630.1,480.83976280942414,1511.943998920021,1601.6145189263182,88.0
1001,Connaught Place to Janpath,New Delhi,28.629,77.21695,Day,13,1,950,76,44.65,High,0.0,Unknown,0.0,33.48,76,50.9,126.9,Use with caution,74,78,2630.1,480.83976280942414,1511.943998920021,1601.6145189263182,88.0
1001,Connaught Place to Janpath,New Delhi,28.629,77.21695,Evening,19,0,950,76,41.28,High,0.0,Unknown,0.0,30.96,76,47.06,123.06,Use with caution,74,78,4782.0,480.83976280942414,1511.943998920021,1601.6145189263182,88.0
1001,Connaught Place to Janpath,New Delhi,28.629,77.21695,Evening,19,1,950,76,41.29,High,0.0,Unknown,0.0,30.97,76,47.07,123.07,Use with caution,74,78,4782.0,480.83976280942414,1511.943998920021,1601.6145189263182,88.0
1001,Connaught Place to Janpath,New Delhi,28.629,77.21695,Night,23,0,950,76,53.02,High,0.0,Unknown,0.0,39.76,76,60.44,136.44,Use with caution,74,78,1673.7,480.83976280942414,1511.943998920021,1601.6145189263182,88.0
1001,Connaught Place to Janpath,New Delhi,28.629,77.21695,Night,23,1,950,76,53.06,High,0.0,Unknown,0.0,39.8,76,60.49,136.49,Use with caution,74,78,1673.7,480.83976280942414,1511.943998920021,1601.6145189263182,88.0
1001,Connaught Place to Janpath,New Delhi,28.629,77.21695,Late Night,2,0,950,76,56.13,High,0.0,Unknown,0.0,42.1,76,63.99,139.99,Use with caution,74,78,956.4,480.83976280942414,1511.943998920021,1601.6145189263182,88.0
1001,Connaught Place to Janpath,New Delhi,28.629,77.21695,Late Night,2,1,950,76,56.17,High,0.0,Unknown,0.0,42.13,76,64.03,140.03,Use with caution,74,78,956.4,480.83976280942414,1511.943998920021,1601.6145189263182,88.0
1002,Janpath to Tuglak Road,New Delhi,28.6147,77.2131,Morning,8,0,2400,192,45.46,High,0.0,Unknown,0.0,34.1,192,130.93,322.93,Use with caution,81,73,1259.7,1185.476890248464,1470.7233910555285,3170.8734503890955,88.0
1002,Janpath to Tuglak Road,New Delhi,28.6147,77.2131,Morning,8,1,2400,192,45.48,High,0.0,Unknown,0.0,34.11,192,130.98,322.98,Use with caution,81,73,1259.7,1185.476890248464,1470.7233910555285,3170.8734503890955,88.0
1002,Janpath to Tuglak Road,New Delhi,28.6147,77.2131,Day,13,0,2400,192,45.41,High,0.0,Unknown,0.0,34.06,192,130.78,322.78,Use with caution,81,73,1065.9,1185.476890248464,1470.7233910555285,3170.8734503890955,88.0
1002,Janpath to Tuglak Road,New Delhi,28.6147,77.2131,Day,13,1,2400,192,45.45,High,0.0,Unknown,0.0,34.09,192,130.91,322.91,Use with caution,81,73,1065.9,1185.476890248464,1470.7233910555285,3170.8734503890955,88.0
1002,Janpath to Tuglak Road,New Delhi,28.6147,77.2131,Evening,19,0,2400,192,44.18,High,0.0,Unknown,0.0,33.13,192,127.24,319.24,Use with caution,81,73,1938.0,1185.476890248464,1470.7233910555285,3170.8734503890955,88.0
1002,Janpath to Tuglak Road,New Delhi,28.6147,77.2131,Evening,19,1,2400,192,44.23,High,0.0,Unknown,0.0,33.17,192,127.37,319.37,Use with caution,81,73,1938.0,1185.476890248464,1470.7233910555285,3170.8734503890955,88.0
1002,Janpath to Tuglak Road,New Delhi,28.6147,77.2131,Night,23,0,2400,192,52.02,High,0.0,Unknown,0.0,39.01,192,149.82,341.82,Use with caution,81,73,678.3,1185.476890248464,1470.7233910555285,3170.8734503890955,88.0
1002,Janpath to Tuglak Road,New Delhi,28.6147,77.2131,Night,23,1,2400,192,52.07,High,0.0,Unknown,0.0,39.05,192,149.96,341.96,Use with caution,81,73,678.3,1185.476890248464,1470.7233910555285,3170.8734503890955,88.0
1002,Janpath to Tuglak Road,New Delhi,28.6147,77.2131,Late Night,2,0,2400,192,55.17,High,0.0,Unknown,0.0,41.37,192,158.88,350.88,Use with caution,81,73,387.6,1185.476890248464,1470.7233910555285,3170.8734503890955,88.0
1002,Janpath to Tuglak Road,New Delhi,28.6147,77.2131,Late Night,2,1,2400,192,55.21,High,0.0,Unknown,0.0,41.4,192,158.99,350.99,Use with caution,81,73,387.6,1185.476890248464,1470.7233910555285,3170.8734503890955,88.0
1003,Tuglak Road to Chanakyapuri,New Delhi,28.6008,77.19805,Morning,8,0,3100,248,42.96,High,0.0,Unknown,0.0,32.22,248,159.81,407.81,Use with caution,91,54,2863.9,1391.5937709694144,2627.0050768005485,4971.21151500314,88.0
1003,Tuglak Road to Chanakyapuri,New Delhi,28.6008,77.19805,Morning,8,1,3100,248,42.99,High,0.0,Unknown,0.0,32.24,248,159.92,407.92,Use with caution,91,54,2863.9,1391.5937709694144,2627.0050768005485,4971.21151500314,88.0
1003,Tuglak Road to Chanakyapuri,New Delhi,28.6008,77.19805,Day,13,0,3100,248,43.59,High,0.0,Unknown,0.0,32.7,248,162.17,410.17,Use with caution,91,54,2423.3,1391.5937709694144,2627.0050768005485,4971.21151500314,88.0
1003,Tuglak Road to Chanakyapuri,New Delhi,28.6008,77.19805,Day,13,1,3100,248,43.64,High,0.0,Unknown,0.0,32.73,248,162.32,410.32,Use with caution,91,54,2423.3,1391.5937709694144,2627.0050768005485,4971.21151500314,88.0
1003,Tuglak Road to Chanakyapuri,New Delhi,28.6008,77.19805,Evening,19,0,3100,248,40.28,High,0.0,Unknown,0.0,30.21,248,149.86,397.86,Use with caution,91,54,4406.0,1391.5937709694144,2627.0050768005485,4971.21151500314,88.0
1003,Tuglak Road to Chanakyapuri,New Delhi,28.6008,77.19805,Evening,19,1,3100,248,40.29,High,0.0,Unknown,0.0,30.22,248,149.89,397.89,Use with caution,91,54,4406.0,1391.5937709694144,2627.0050768005485,4971.21151500314,88.0
1003,Tuglak Road to Chanakyapuri,New Delhi,28.6008,77.19805,Night,23,0,3100,248,50.82,High,0.0,Unknown,0.0,38.12,248,189.07,437.07,Use with caution,91,54,1542.1,1391.5937709694144,2627.0050768005485,4971.21151500314,88.0
1003,Tuglak Road to Chanakyapuri,New Delhi,28.6008,77.19805,Night,23,1,3100,248,50.87,High,0.0,Unknown,0.0,38.15,248,189.23,437.23,Use with caution,91,54,1542.1,1391.5937709694144,2627.0050768005485,4971.21151500314,88.0
1003,Tuglak Road to Chanakyapuri,New Delhi,28.6008,77.19805,Late Night,2,0,3100,248,53.73,High,0.0,Unknown,0.0,40.3,248,199.87,447.87,Use with caution,91,54,881.2,1391.5937709694144,2627.0050768005485,4971.21151500314,88.0
1003,Tuglak Road to Chanakyapuri,New Delhi,28.6008,77.19805,Late Night,2,1,3100,248,53.76,High,0.0,Unknown,0.0,40.32,248,199.99,447.99,Use with caution,91,54,881.2,1391.5937709694144,2627.0050768005485,4971.21151500314,88.0
1004,Chanakyapuri to Vasant Vihar,South West,28.5779,77.17339999999999,Morning,8,0,4800,384,16.5,Low,0.0,Unknown,0.0,12.38,384,95.06,479.06,Preferred,94,66,2902.25,2425.3920664871503,3458.439974324375,6826.637083930934,79.0
1004,Chanakyapuri to Vasant Vihar,South West,28.5779,77.17339999999999,Morning,8,1,4800,384,16.54,Low,0.0,Unknown,0.0,12.4,384,95.26,479.26,Preferred,94,66,2902.25,2425.3920664871503,3458.439974324375,6826.637083930934,79.0
1004,Chanakyapuri to Vasant Vihar,South West,28.5779,77.17339999999999,Day,13,0,4800,384,17.19,Low,0.0,Unknown,0.0,12.89,384,99.02,483.02,Preferred,94,66,2455.75,2425.3920664871503,3458.439974324375,6826.637083930934,79.0
1004,Chanakyapuri to Vasant Vihar,South West,28.5779,77.17339999999999,Day,13,1,4800,384,17.22,Low,0.0,Unknown,0.0,12.92,384,99.22,483.22,Preferred,94,66,2455.75,2425.3920664871503,3458.439974324375,6826.637083930934,79.0
1004,Chanakyapuri to Vasant Vihar,South West,28.5779,77.17339999999999,Evening,19,0,4800,384,14.32,Low,0.0,Unknown,0.0,10.74,384,82.5,466.5,Preferred,94,66,4465.0,2425.3920664871503,3458.439974324375,6826.637083930934,79.0
1004,Chanakyapuri to Vasant Vihar,South West,28.5779,77.17339999999999,Evening,19,1,4800,384,14.33,Low,0.0,Unknown,0.0,10.75,384,82.56,466.56,Preferred,94,66,4465.0,2425.3920664871503,3458.439974324375,6826.637083930934,79.0
1004,Chanakyapuri to Vasant Vihar,South West,28.5779,77.17339999999999,Night,23,0,4800,384,23.88,Low,0.0,Unknown,0.0,17.91,384,137.53,521.53,Preferred,94,66,1562.75,2425.3920664871503,3458.439974324375,6826.637083930934,79.0
1004,Chanakyapuri to Vasant Vihar,South West,28.5779,77.17339999999999,Night,23,1,4800,384,23.92,Low,0.0,Unknown,0.0,17.94,384,137.77,521.77,Preferred,94,66,1562.75,2425.3920664871503,3458.439974324375,6826.637083930934,79.0
1004,Chanakyapuri to Vasant Vihar,South West,28.5779,77.17339999999999,Late Night,2,0,4800,384,27.69,Moderate,0.0,Unknown,0.0,20.77,384,159.48,543.48,Acceptable,94,66,893.0,2425.3920664871503,3458.439974324375,6826.637083930934,79.0
1004,Chanakyapuri to Vasant Vihar,South West,28.5779,77.17339999999999,Late Night,2,1,4800,384,27.73,Moderate,0.0,Unknown,0.0,20.8,384,159.74,543.74,Acceptable,94,66,893.0,2425.3920664871503,3458.439974324375,6826.637083930934,79.0
1005,Vasant Vihar to Vasant Kunj,South West,28.54875,77.15895,Morning,8,0,2200,176,26.75,Moderate,0.0,Unknown,0.0,20.06,176,70.62,246.62,Acceptable,55,35,293.8,1117.0844935928176,5273.216307974471,4302.123951254367,79.0
1005,Vasant Vihar to Vasant Kunj,South West,28.54875,77.15895,Morning,8,1,2200,176,26.79,Moderate,0.0,Unknown,0.0,20.1,176,70.73,246.73,Acceptable,55,35,293.8,1117.0844935928176,5273.216307974471,4302.123951254367,79.0
1005,Vasant Vihar to Vasant Kunj,South West,28.54875,77.15895,Day,13,0,2200,176,26.84,Moderate,0.0,Unknown,0.0,20.13,176,70.86,246.86,Acceptable,55,35,248.6,1117.0844935928176,5273.216307974471,4302.123951254367,79.0
1005,Vasant Vihar to Vasant Kunj,South West,28.54875,77.15895,Day,13,1,2200,176,26.89,Moderate,0.0,Unknown,0.0,20.16,176,70.98,246.98,Acceptable,55,35,248.6,1117.0844935928176,5273.216307974471,4302.123951254367,79.0
1005,Vasant Vihar to Vasant Kunj,South West,28.54875,77.15895,Evening,19,0,2200,176,26.59,Moderate,0.0,Unknown,0.0,19.94,176,70.19,246.19,Acceptable,55,35,452.0,1117.0844935928176,5273.216307974471,4302.123951254367,79.0
1005,Vasant Vihar to Vasant Kunj,South West,28.54875,77.15895,Evening,19,1,2200,176,26.63,Moderate,0.0,Unknown,0.0,19.97,176,70.3,246.3,Acceptable,55,35,452.0,1117.0844935928176,5273.216307974471,4302.123951254367,79.0
1005,Vasant Vihar to Vasant Kunj,South West,28.54875,77.15895,Night,23,0,2200,176,34.85,Moderate,0.0,Unknown,0.0,26.14,176,92.02,268.02,Acceptable,55,35,158.2,1117.0844935928176,5273.216307974471,4302.123951254367,79.0
1005,Vasant Vihar to Vasant Kunj,South West,28.54875,77.15895,Night,23,1,2200,176,34.91,Moderate,0.0,Unknown,0.0,26.18,176,92.16,268.16,Acceptable,55,35,158.2,1117.0844935928176,5273.216307974471,4302.123951254367,79.0
1005,Vasant Vihar to Vasant Kunj,South West,28.54875,77.15895,Late Night,2,0,2200,176,37.35,Moderate,0.0,Unknown,0.0,28.01,176,98.6,274.6,Acceptable,55,35,90.4,1117.0844935928176,5273.216307974471,4302.123951254367,79.0
1005,Vasant Vihar to Vasant Kunj,South West,28.54875,77.15895,Late Night,2,1,2200,176,37.4,Moderate,0.0,Unknown,0.0,28.05,176,98.75,274.75,Acceptable,55,35,90.4,1117.0844935928176,5273.216307974471,4302.123951254367,79.0
1006,Vasant Kunj to Saket,South West,28.530700000000003,77.18095,Morning,8,0,5400,432,30.36,Moderate,0.0,Unknown,0.0,22.77,432,196.73,628.73,Acceptable,48,49,94.25,1532.0891402036114,3054.167339721936,1532.0891402036114,79.0
1006,Vasant Kunj to Saket,South West,28.530700000000003,77.18095,Morning,8,1,5400,432,30.41,Moderate,0.0,Unknown,0.0,22.81,432,197.06,629.06,Acceptable,48,49,94.25,1532.0891402036114,3054.167339721936,1532.0891402036114,79.0
1006,Vasant Kunj to Saket,South West,28.530700000000003,77.18095,Day,13,0,5400,432,30.41,Moderate,0.0,Unknown,0.0,22.81,432,197.04,629.04,Acceptable,48,49,79.75,1532.0891402036114,3054.167339721936,1532.0891402036114,79.0
1006,Vasant Kunj to Saket,South West,28.530700000000003,77.18095,Day,13,1,5400,432,30.46,Moderate,0.0,Unknown,0.0,22.84,432,197.37,629.37,Acceptable,48,49,79.75,1532.0891402036114,3054.167339721936,1532.0891402036114,79.0
1006,Vasant Kunj to Saket,South West,28.530700000000003,77.18095,Evening,19,0,5400,432,30.3,Moderate,0.0,Unknown,0.0,22.73,432,196.36,628.36,Acceptable,48,49,145.0,1532.0891402036114,3054.167339721936,1532.0891402036114,79.0
1006,Vasant Kunj to Saket,South West,28.530700000000003,77.18095,Evening,19,1,5400,432,30.35,Moderate,0.0,Unknown,0.0,22.77,432,196.69,628.69,Acceptable,48,49,145.0,1532.0891402036114,3054.167339721936,1532.0891402036114,79.0
1006,Vasant Kunj to Saket,South West,28.530700000000003,77.18095,Night,23,0,5400,432,38.64,Moderate,0.0,Unknown,0.0,28.98,432,250.42,682.42,Acceptable,48,49,50.75,1532.0891402036114,3054.167339721936,1532.0891402036114,79.0
1006,Vasant Kunj to Saket,South West,28.530700000000003,77.18095,Night,23,1,5400,432,38.7,Moderate,0.0,Unknown,0.0,29.03,432,250.79,682.79,Acceptable,48,49,50.75,1532.0891402036114,3054.167339721936,1532.0891402036114,79.0
1006,Vasant Kunj to Saket,South West,28.530700000000003,77.18095,Late Night,2,0,5400,432,41.18,High,0.0,Unknown,0.0,30.89,432,266.86,698.86,Use with caution,48,49,29.0,1532.0891402036114,3054.167339721936,1532.0891402036114,79.0
1006,Vasant Kunj to Saket,South West,28.530700000000003,77.18095,Late Night,2,1,5400,432,41.23,High,0.0,Unknown,0.0,30.92,432,267.17,699.17,Use with caution,48,49,29.0,1532.0891402036114,3054.167339721936,1532.0891402036114,79.0
1007,Saket to Malviya Nagar,South,28.5252,77.2085,Morning,8,0,800,64,27.91,Moderate,33.51,Low,0.0,23.27,64,29.79,93.79,Acceptable,62,46,573.95,386.5957417438957,426.9970294730797,2494.806089157192,79.0
1007,Saket to Malviya Nagar,South,28.5252,77.2085,Morning,8,1,800,64,27.95,Moderate,33.52,Low,0.0,23.31,64,29.83,93.83,Acceptable,62,46,573.95,386.5957417438957,426.9970294730797,2494.806089157192,79.0
1007,Saket to Malviya Nagar,South,28.5252,77.2085,Day,13,0,800,64,28.11,Moderate,33.66,Low,0.0,23.45,64,30.02,94.02,Acceptable,62,46,485.65,386.5957417438957,426.9970294730797,2494.806089157192,79.0
1007,Saket to Malviya Nagar,South,28.5252,77.2085,Day,13,1,800,64,28.15,Moderate,33.67,Low,0.0,23.49,64,30.06,94.06,Acceptable,62,46,485.65,386.5957417438957,426.9970294730797,2494.806089157192,79.0
1007,Saket to Malviya Nagar,South,28.5252,77.2085,Evening,19,0,800,64,27.24,Moderate,32.93,Low,0.0,22.67,64,29.02,93.02,Acceptable,62,46,883.0,386.5957417438957,426.9970294730797,2494.806089157192,79.0
