segment_id,segment_name,district,mapping_method,confidence,midpoint_latitude,midpoint_longitude,distance_m,estimated_travel_time_s,road_type,walkable,population,population_density,total_reported_cases,cases_per_100k,severity_weighted_cases_per_100k,recent_cases_per_100k,recent_severity_per_100k,crime_trend_slope,historical_baseline,lighting_score,cctv_coverage_score,footfall_proxy,distance_to_police_m,distance_to_hospital_m,distance_to_medical_facility_m,distance_to_public_toilet_m,distance_to_nearest_amenity_m,nearest_hotspot_distance_m,nearest_hotspot_intensity,has_police_nearby,has_hospital_nearby,has_public_toilet_nearby,lighting_data_synthetic,cctv_data_synthetic,mobility_data_synthetic,hotspot_data_synthetic
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.628999999999998,77.21695,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.83976280942414,1511.943998920021,386.6466510122201,373.12204070675887,373.12204070675887,1601.6145189263182,88.0,True,True,True,True,True,True,True
1002,Janpath to Tuglak Road,New Delhi,midpoint/locality administrative mapping,high,28.6147,77.2131,2400,192,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,81,73,1938,1185.476890248464,1470.7233910555285,1470.7233910555285,1453.2194344619938,1453.2194344619938,3170.8734503890955,88.0,False,True,False,True,True,True,True
1003,Tuglak Road to Chanakyapuri,New Delhi,midpoint/locality administrative mapping,high,28.6008,77.19805,3100,248,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,91,54,4406,1391.5937709694144,2627.0050768005485,2627.0050768005485,2836.8428198271818,2836.8428198271818,4971.2115150031395,88.0,False,False,False,True,True,True,True
1004,Chanakyapuri to Vasant Vihar,South West,midpoint/locality administrative mapping,medium,28.5779,77.17339999999999,4800,384,primary,True,2292958,5459,4743,206.8507,150.8483,258.4696,188.4349,-1.2286,8.9431,94,66,4465,2425.3920664871503,3458.439974324375,3458.439974324375,4782.613963696953,3624.578972672395,6826.637083930934,79.0,False,False,False,True,True,True,True
1005,Vasant Vihar to Vasant Kunj,South West,midpoint/locality administrative mapping,high,28.54875,77.15895,2200,176,secondary,True,2292958,5459,4743,206.8507,150.8483,258.4696,188.4349,-1.2286,8.9431,55,35,452,1117.0844935928176,5273.216307974471,5273.216307974471,6542.012005048212,4685.380650688673,4302.123951254367,79.0,False,False,False,True,True,True,True
1006,Vasant Kunj to Saket,South West,midpoint/locality administrative mapping,medium,28.530700000000003,77.18095,5400,432,secondary,True,2292958,5459,4743,206.8507,150.8483,258.4696,188.4349,-1.2286,8.9431,48,49,145,1532.0891402036114,3054.167339721936,3054.167339721936,5881.2831778501495,2856.7984606453665,1532.0891402036114,79.0,False,False,False,True,True,True,True
1007,Saket to Malviya Nagar,South,midpoint/locality administrative mapping,high,28.525199999999998,77.2085,800,64,residential,True,2731929,10928,7007,256.4854,186.8887,320.1877,233.2536,-6.5429,10.8279,62,46,883,386.5957417438957,426.9970294730797,426.9970294730797,5119.272914900035,2011.0218852194664,2494.8060891571913,79.0,True,True,False,True,True,True,True
1008,Malviya Nagar to Hauz Khas,South,midpoint/locality administrative mapping,high,28.5388,77.2053,2600,208,secondary,True,2731929,10928,7007,256.4854,186.8887,320.1877,233.2536,-6.5429,10.8279,51,18,408,1283.4517857605208,1416.7544216038493,1410.9570011401397,3792.8372757176144,503.1035991010155,3131.2878213523695,79.0,False,True,False,True,True,True,True
1009,Hauz Khas to AIIMS Ring Road,South,midpoint/locality administrative mapping,high,28.5583,77.20505,2100,168,primary,True,2731929,10928,7007,256.4854,186.8887,320.1877,233.2536,-6.5429,10.8279,79,67,4023,1101.4161060262352,1101.3981655521382,1040.28611716294,2053.309109685361,1149.6056482958907,4977.453609764864,79.0,False,True,False,True,True,True,True
1010,AIIMS to Lajpat Nagar (Ring Road),South East,midpoint/locality administrative mapping,medium,28.5678,77.22614999999999,3200,256,trunk,True,2283000,22382,5845,256.0228,186.9665,319.8292,233.5149,-2.6,16.4164,98,72,2491,1578.568992406539,1578.5779771535517,1505.9816260380362,505.6336243066341,505.6336243066341,6100.512589540734,84.0,False,True,True,True,True,True,True
