rank,feature,mean_abs_shap
1,historical_baseline,9.8113
2,is_night,7.3504
3,cases_per_100k,4.1976
4,representative_hour,3.2344
5,is_weekend,2.4114
6,reduced_activity_context,1.5976
7,severity_weighted_cases_per_100k,1.2408
8,is_peak_hour,0.7211
9,is_evening_peak,0.2055
10,contextual_footfall_proxy,0.0657
11,is_late_night,0.0606
12,recent_cases_per_100k,0.0182
13,distance_to_hospital_m,0.0161
14,distance_to_public_toilet_m,0.0096
15,nearest_hotspot_intensity,0.0079
16,distance_m,0.0073
17,nearest_hotspot_distance_m,0.0067
18,footfall_proxy,0.0062
19,crime_trend_slope,0.0054
20,cctv_coverage_score,0.0049
21,lighting_score,0.0033
22,distance_to_nearest_amenity_m,0.0021
23,distance_to_police_m,0.0017
24,distance_to_medical_facility_m,0.0012
25,estimated_travel_time_s,0.0006
26,recent_severity_per_100k,0.0
27,lighting_relevance,0.0
