segment_id,segment_name,district,time_period,is_weekend,model_risk_score,target_risk_score,risk_band,top_feature_1,top_feature_1_shap,top_feature_2,top_feature_2_shap,top_feature_3,top_feature_3_shap,top_feature_4,top_feature_4_shap,top_feature_5,top_feature_5_shap,explanation
1001,Connaught Place to Janpath,New Delhi,Morning,0,48.8103,46.3439,Moderate,distance_m,8.6677,reduced_activity_context,-5.2253,footfall_proxy,4.8537,distance_to_public_toilet_m,4.3972,cctv_coverage_score,1.727,distance_m increased risk (+8.67); reduced_activity_context reduced risk (-5.23); footfall_proxy increased risk (+4.85); distance_to_public_toilet_m increased risk (+4.40); cctv_coverage_score increased risk (+1.73)
1001,Connaught Place to Janpath,New Delhi,Morning,1,48.8103,51.3439,Moderate,distance_m,8.6677,reduced_activity_context,-5.2253,footfall_proxy,4.8537,distance_to_public_toilet_m,4.3972,cctv_coverage_score,1.727,distance_m increased risk (+8.67); reduced_activity_context reduced risk (-5.23); footfall_proxy increased risk (+4.85); distance_to_public_toilet_m increased risk (+4.40); cctv_coverage_score increased risk (+1.73)
1001,Connaught Place to Janpath,New Delhi,Day,0,46.8089,42.8439,Moderate,distance_m,8.992,reduced_activity_context,-5.4918,distance_to_public_toilet_m,5.024,footfall_proxy,4.4703,cctv_coverage_score,1.7107,distance_m increased risk (+8.99); reduced_activity_context reduced risk (-5.49); distance_to_public_toilet_m increased risk (+5.02); footfall_proxy increased risk (+4.47); cctv_coverage_score increased risk (+1.71)
1001,Connaught Place to Janpath,New Delhi,Day,1,46.8089,47.8439,Moderate,distance_m,8.992,reduced_activity_context,-5.4918,distance_to_public_toilet_m,5.024,footfall_proxy,4.4703,cctv_coverage_score,1.7107,distance_m increased risk (+8.99); reduced_activity_context reduced risk (-5.49); distance_to_public_toilet_m increased risk (+5.02); footfall_proxy increased risk (+4.47); cctv_coverage_score increased risk (+1.71)
1001,Connaught Place to Janpath,New Delhi,Evening,0,55.1254,53.3439,Moderate,distance_m,8.6766,contextual_footfall_proxy,5.9399,footfall_proxy,5.8149,reduced_activity_context,-4.8896,distance_to_public_toilet_m,4.3356,distance_m increased risk (+8.68); contextual_footfall_proxy increased risk (+5.94); footfall_proxy increased risk (+5.81); reduced_activity_context reduced risk (-4.89); distance_to_public_toilet_m increased risk (+4.34)
1001,Connaught Place to Janpath,New Delhi,Evening,1,55.1254,58.3439,Moderate,distance_m,8.6766,contextual_footfall_proxy,5.9399,footfall_proxy,5.8149,reduced_activity_context,-4.8896,distance_to_public_toilet_m,4.3356,distance_m increased risk (+8.68); contextual_footfall_proxy increased risk (+5.94); footfall_proxy increased risk (+5.81); reduced_activity_context reduced risk (-4.89); distance_to_public_toilet_m increased risk (+4.34)
1001,Connaught Place to Janpath,New Delhi,Night,0,66.3849,63.8439,Moderate,distance_m,9.4493,reduced_activity_context,8.642,footfall_proxy,6.7586,distance_to_public_toilet_m,4.7911,cctv_coverage_score,2.0369,distance_m increased risk (+9.45); reduced_activity_context increased risk (+8.64); footfall_proxy increased risk (+6.76); distance_to_public_toilet_m increased risk (+4.79); cctv_coverage_score increased risk (+2.04)
1001,Connaught Place to Janpath,New Delhi,Night,1,66.3849,68.8439,High,distance_m,9.4493,reduced_activity_context,8.642,footfall_proxy,6.7586,distance_to_public_toilet_m,4.7911,cctv_coverage_score,2.0369,distance_m increased risk (+9.45); reduced_activity_context increased risk (+8.64); footfall_proxy increased risk (+6.76); distance_to_public_toilet_m increased risk (+4.79); cctv_coverage_score increased risk (+2.04)
1001,Connaught Place to Janpath,New Delhi,Late Night,0,72.4521,70.8439,High,distance_m,9.8503,reduced_activity_context,9.6838,footfall_proxy,7.5334,distance_to_public_toilet_m,4.732,contextual_footfall_proxy,1.9174,distance_m increased risk (+9.85); reduced_activity_context increased risk (+9.68); footfall_proxy increased risk (+7.53); distance_to_public_toilet_m increased risk (+4.73); contextual_footfall_proxy increased risk (+1.92)
1001,Connaught Place to Janpath,New Delhi,Late Night,1,72.4521,75.8439,High,distance_m,9.8503,reduced_activity_context,9.6838,footfall_proxy,7.5334,distance_to_public_toilet_m,4.732,contextual_footfall_proxy,1.9174,distance_m increased risk (+9.85); reduced_activity_context increased risk (+9.68); footfall_proxy increased risk (+7.53); distance_to_public_toilet_m increased risk (+4.73); contextual_footfall_proxy increased risk (+1.92)
1002,Janpath to Tuglak Road,New Delhi,Morning,0,47.2332,45.5366,Moderate,distance_to_public_toilet_m,9.637,reduced_activity_context,-6.1228,distance_m,5.9927,lighting_score,3.6301,contextual_footfall_proxy,-2.7053,distance_to_public_toilet_m increased risk (+9.64); reduced_activity_context reduced risk (-6.12); distance_m increased risk (+5.99); lighting_score increased risk (+3.63); contextual_footfall_proxy reduced risk (-2.71)
