id,district,police_station,crime_category,crime_subcategory,reported_cases,severity,year,month,source,source_url,data_precision,is_synthetic
1,Central,Central Central PS,Rape,Sec 376 IPC,5,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2,East,East Central PS,Rape,Sec 376 IPC,11,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
3,New Delhi,New Delhi Central PS,Rape,Sec 376 IPC,2,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
4,North,North Central PS,Rape,Sec 376 IPC,5,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
5,North East,North East Central PS,Rape,Sec 376 IPC,11,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
6,North West,North West Central PS,Rape,Sec 376 IPC,25,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
7,Shahdara,Shahdara Central PS,Rape,Sec 376 IPC,9,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
8,South,South Central PS,Rape,Sec 376 IPC,17,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
9,South East,South East Central PS,Rape,Sec 376 IPC,12,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
10,South West,South West Central PS,Rape,Sec 376 IPC,13,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
11,West,West Central PS,Rape,Sec 376 IPC,17,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
12,Central,Central Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,4,7,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
13,East,East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,9,7,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
14,New Delhi,New Delhi Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,2,7,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
15,North,North Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,5,7,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
16,North East,North East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,11,7,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
17,North West,North West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,20,7,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
18,Shahdara,Shahdara Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,7,7,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
