id,name,latitude,longitude,address,district,type,verified,source,source_url,is_synthetic
1,Connaught Place Police Station,28.6327,77.2195,"Inner Circle, Connaught Place",New Delhi,Police Station,True,OpenStreetMap & Delhi Police Directory,https://delhipolice.gov.in / https://www.openstreetmap.org,False
2,Parliament Street Police Station,28.6253,77.2144,Parliament Street,New Delhi,Police Station,True,OpenStreetMap & Delhi Police Directory,https://delhipolice.gov.in / https://www.openstreetmap.org,False
3,Chanakyapuri Police Station,28.5975,77.1843,"Nyaya Marg, Chanakyapuri",New Delhi,Police Station,True,OpenStreetMap & Delhi Police Directory,https://delhipolice.gov.in / https://www.openstreetmap.org,False
4,Tuglak Road Police Station,28.6041,77.2118,Tuglak Road,New Delhi,Police Station,True,OpenStreetMap & Delhi Police Directory,https://delhipolice.gov.in / https://www.openstreetmap.org,False
5,Hauz Khas Police Station,28.5494,77.2001,Hauz Khas Enclave,South,Police Station,True,OpenStreetMap & Delhi Police Directory,https://delhipolice.gov.in / https://www.openstreetmap.org,False
6,Malviya Nagar Police Station,28.5282,77.2105,Malviya Nagar,South,Police Station,True,OpenStreetMap & Delhi Police Directory,https://delhipolice.gov.in / https://www.openstreetmap.org,False
7,Saket Police Station,28.5222,77.2065,"Press Enclave Marg, Saket",South,Police Station,True,OpenStreetMap & Delhi Police Directory,https://delhipolice.gov.in / https://www.openstreetmap.org,False
8,Mehrauli Police Station,28.5173,77.1846,Mehrauli Bypass,South,Police Station,True,OpenStreetMap & Delhi Police Directory,https://delhipolice.gov.in / https://www.openstreetmap.org,False
9,Greater Kailash Police Station,28.5447,77.2372,GK-1 Main Market,South East,Police Station,True,OpenStreetMap & Delhi Police Directory,https://delhipolice.gov.in / https://www.openstreetmap.org,False
10,Lajpat Nagar Police Station,28.5684,77.2423,Lajpat Nagar II,South East,Police Station,True,OpenStreetMap & Delhi Police Directory,https://delhipolice.gov.in / https://www.openstreetmap.org,False
11,Kalkaji Police Station,28.5489,77.2588,Kalkaji Main Road,South East,Police Station,True,OpenStreetMap & Delhi Police Directory,https://delhipolice.gov.in / https://www.openstreetmap.org,False
12,Okhla Industrial Area PS,28.5298,77.2712,"Phase 1, Okhla",South East,Police Station,True,OpenStreetMap & Delhi Police Directory,https://delhipolice.gov.in / https://www.openstreetmap.org,False
13,Vasant Vihar Police Station,28.5583,77.1625,Vasant Vihar,South West,Police Station,True,OpenStreetMap & Delhi Police Directory,https://delhipolice.gov.in / https://www.openstreetmap.org,False
14,Vasant Kunj North PS,28.5392,77.1554,"Sector D, Vasant Kunj",South West,Police Station,True,OpenStreetMap & Delhi Police Directory,https://delhipolice.gov.in / https://www.openstreetmap.org,False
