id,name,latitude,longitude,type,address,district,verified,source,source_url,is_synthetic
1,NDMC Smart Public Toilet - CP Block A,28.6335,77.2175,Public Toilet,Connaught Place Block A,New Delhi,True,OpenStreetMap & MCD/NDMC Public Amenities Directory,https://mcdonline.nic.in / https://www.openstreetmap.org,False
2,NDMC Smart Toilet - Janpath Market,28.6265,77.2195,Public Toilet,Janpath,New Delhi,True,OpenStreetMap & MCD/NDMC Public Amenities Directory,https://mcdonline.nic.in / https://www.openstreetmap.org,False
3,MCD Public Washroom - Karol Bagh Market,28.6521,77.1915,Public Toilet,Ajmal Khan Road,Central,True,OpenStreetMap & MCD/NDMC Public Amenities Directory,https://mcdonline.nic.in / https://www.openstreetmap.org,False
4,DMRC Water ATM - Rajiv Chowk Metro Station,28.6328,77.2198,Drinking Water,"Concourse Level, Rajiv Chowk",New Delhi,True,OpenStreetMap & MCD/NDMC Public Amenities Directory,https://mcdonline.nic.in / https://www.openstreetmap.org,False
5,DMRC Water ATM - Kashmere Gate Interchange,28.6671,77.2295,Drinking Water,"Gate 5, Kashmere Gate",North,True,OpenStreetMap & MCD/NDMC Public Amenities Directory,https://mcdonline.nic.in / https://www.openstreetmap.org,False
6,Night Shelter (Rain Basera) - AIIMS Complex,28.5681,77.2088,Shelter / Rest Area,Near Gate 2 AIIMS,South,True,OpenStreetMap & MCD/NDMC Public Amenities Directory,https://mcdonline.nic.in / https://www.openstreetmap.org,False
7,Night Shelter (DUSIB) - Yamuna Pushta,28.6512,77.2452,Shelter,Nigambodh Ghat Road,Central,True,OpenStreetMap & MCD/NDMC Public Amenities Directory,https://mcdonline.nic.in / https://www.openstreetmap.org,False
8,NDMC Pink Toilet (Women Only) - Khan Market,28.6002,77.2271,Women Only Toilet,Khan Market Front Entry,New Delhi,True,OpenStreetMap & MCD/NDMC Public Amenities Directory,https://mcdonline.nic.in / https://www.openstreetmap.org,False
9,NDMC Pink Toilet - South Ext Part 1,28.5698,77.2215,Women Only Toilet,Main Market Ring Road,South,True,OpenStreetMap & MCD/NDMC Public Amenities Directory,https://mcdonline.nic.in / https://www.openstreetmap.org,False
10,MCD Smart Toilet - Lajpat Nagar Central Market,28.5678,77.2435,Public Toilet,Central Market,South East,True,OpenStreetMap & MCD/NDMC Public Amenities Directory,https://mcdonline.nic.in / https://www.openstreetmap.org,False
11,DMRC Passenger Help Desk & Shelter - Hauz Khas,28.5432,77.2065,Rest Area / Transit Shelter,Hauz Khas Gate 1,South,True,OpenStreetMap & MCD/NDMC Public Amenities Directory,https://mcdonline.nic.in / https://www.openstreetmap.org,False
12,MCD Public Toilet - Chandni Chowk Town Hall,28.6568,77.2302,Public Toilet,Opp Town Hall,Central,True,OpenStreetMap & MCD/NDMC Public Amenities Directory,https://mcdonline.nic.in / https://www.openstreetmap.org,False
