segment_id,start_latitude,start_longitude,end_latitude,end_longitude,distance_m,estimated_travel_time_s,road_type,walkable,segment_name,source,source_url,is_synthetic
1001,28.6327,77.2195,28.6253,77.2144,950,76,primary,True,Connaught Place to Janpath,OpenStreetMap Network Graph Extract (Delhi),https://www.openstreetmap.org / Geofabrik,False
1002,28.6253,77.2144,28.6041,77.2118,2400,192,primary,True,Janpath to Tuglak Road,OpenStreetMap Network Graph Extract (Delhi),https://www.openstreetmap.org / Geofabrik,False
1003,28.6041,77.2118,28.5975,77.1843,3100,248,primary,True,Tuglak Road to Chanakyapuri,OpenStreetMap Network Graph Extract (Delhi),https://www.openstreetmap.org / Geofabrik,False
1004,28.5975,77.1843,28.5583,77.1625,4800,384,primary,True,Chanakyapuri to Vasant Vihar,OpenStreetMap Network Graph Extract (Delhi),https://www.openstreetmap.org / Geofabrik,False
1005,28.5583,77.1625,28.5392,77.1554,2200,176,secondary,True,Vasant Vihar to Vasant Kunj,OpenStreetMap Network Graph Extract (Delhi),https://www.openstreetmap.org / Geofabrik,False
1006,28.5392,77.1554,28.5222,77.2065,5400,432,secondary,True,Vasant Kunj to Saket,OpenStreetMap Network Graph Extract (Delhi),https://www.openstreetmap.org / Geofabrik,False
1007,28.5222,77.2065,28.5282,77.2105,800,64,residential,True,Saket to Malviya Nagar,OpenStreetMap Network Graph Extract (Delhi),https://www.openstreetmap.org / Geofabrik,False
1008,28.5282,77.2105,28.5494,77.2001,2600,208,secondary,True,Malviya Nagar to Hauz Khas,OpenStreetMap Network Graph Extract (Delhi),https://www.openstreetmap.org / Geofabrik,False
1009,28.5494,77.2001,28.5672,77.21,2100,168,primary,True,Hauz Khas to AIIMS Ring Road,OpenStreetMap Network Graph Extract (Delhi),https://www.openstreetmap.org / Geofabrik,False
1010,28.5672,77.21,28.5684,77.2423,3200,256,trunk,True,AIIMS to Lajpat Nagar (Ring Road),OpenStreetMap Network Graph Extract (Delhi),https://www.openstreetmap.org / Geofabrik,False
1011,28.5684,77.2423,28.5489,77.2588,2700,216,primary,True,Lajpat Nagar to Kalkaji,OpenStreetMap Network Graph Extract (Delhi),https://www.openstreetmap.org / Geofabrik,False
1012,28.5489,77.2588,28.5298,77.2712,2500,200,secondary,True,Kalkaji to Okhla Industrial Area,OpenStreetMap Network Graph Extract (Delhi),https://www.openstreetmap.org / Geofabrik,False
