location_id,latitude,longitude,segment_id,coverage_score,data_type,source,source_url,is_synthetic
CCTV_1001,28.629,77.21695,1001,78,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1002,28.6147,77.2131,1002,73,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1003,28.6008,77.19805,1003,54,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1004,28.5779,77.1734,1004,66,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1005,28.54875,77.15895,1005,35,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1006,28.5307,77.18095,1006,49,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1007,28.5252,77.2085,1007,46,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1008,28.5388,77.2053,1008,18,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1009,28.5583,77.20505,1009,67,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1010,28.5678,77.22615,1010,72,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1011,28.55865,77.25055,1011,60,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1012,28.53935,77.265,1012,26,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1013,28.59565,77.20625,1013,80,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1014,28.6284,77.211,1014,72,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1015,28.6421,77.20485,1015,51,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1016,28.6495,77.15585,1016,58,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1017,28.63445,77.10445,1017,55,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1018,28.5888,77.07085,1018,65,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1019,28.64045,77.23,1019,62,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1020,28.65735,77.2353,1020,75,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1021,28.67385,77.22625,1021,69,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1022,28.69185,77.2078,1022,46,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1023,28.70895,77.1758,1023,38,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1024,28.7258,77.14545,1024,18,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1025,28.64515,77.26785,1025,72,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1026,28.6573,77.29185,1026,72,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1027,28.6705,77.27845,1027,34,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1028,28.6835,77.28545,1028,41,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1029,28.5884,77.2704,1029,71,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
CCTV_1030,28.5355,77.27735,1030,22,proxy_safe_city_zone,Delhi Safe City Project Zone Estimates & Intersection Density Proxy,https://delhipolice.gov.in,True
