location_id,latitude,longitude,segment_id,lighting_score,data_type,source,source_url,is_synthetic
LGT_1001,28.629,77.21695,1001,74,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1002,28.6147,77.2131,1002,81,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1003,28.6008,77.19805,1003,91,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1004,28.5779,77.1734,1004,94,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1005,28.54875,77.15895,1005,55,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1006,28.5307,77.18095,1006,48,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1007,28.5252,77.2085,1007,62,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1008,28.5388,77.2053,1008,51,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1009,28.5583,77.20505,1009,79,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1010,28.5678,77.22615,1010,98,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1011,28.55865,77.25055,1011,93,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1012,28.53935,77.265,1012,61,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1013,28.59565,77.20625,1013,72,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1014,28.6284,77.211,1014,87,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1015,28.6421,77.20485,1015,95,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1016,28.6495,77.15585,1016,81,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1017,28.63445,77.10445,1017,98,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1018,28.5888,77.07085,1018,97,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1019,28.64045,77.23,1019,100,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1020,28.65735,77.2353,1020,88,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1021,28.67385,77.22625,1021,90,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1022,28.69185,77.2078,1022,74,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1023,28.70895,77.1758,1023,64,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1024,28.7258,77.14545,1024,54,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1025,28.64515,77.26785,1025,80,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1026,28.6573,77.29185,1026,87,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1027,28.6705,77.27845,1027,47,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1028,28.6835,77.28545,1028,58,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1029,28.5884,77.2704,1029,95,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
LGT_1030,28.5355,77.27735,1030,38,proxy_satellite_viirs_osm,NOAA VIIRS Nighttime Lights & OSM Lit Tag Proxy,https://eogdata.mines.edu/products/vnl/,True
