location_id,latitude,longitude,segment_id,footfall_proxy,mobility_type,time_period,source,source_url,is_synthetic
MOB_1001,28.629,77.21695,1001,4782,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1002,28.6147,77.2131,1002,1938,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1003,28.6008,77.19805,1003,4406,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1004,28.5779,77.1734,1004,4465,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1005,28.54875,77.15895,1005,452,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1006,28.5307,77.18095,1006,145,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1007,28.5252,77.2085,1007,883,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1008,28.5388,77.2053,1008,408,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1009,28.5583,77.20505,1009,4023,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1010,28.5678,77.22615,1010,2491,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1011,28.55865,77.25055,1011,2683,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1012,28.53935,77.265,1012,944,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1013,28.59565,77.20625,1013,2220,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1014,28.6284,77.211,1014,2494,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1015,28.6421,77.20485,1015,2192,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1016,28.6495,77.15585,1016,2153,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1017,28.63445,77.10445,1017,2866,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1018,28.5888,77.07085,1018,4139,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
